"current_path","new_path","target_repo","mode_scope","layer","priority","move_now","depends_on","notes"
"core/src/ora_core/brain/","packages/node-core/brain/","public","all","common-node-core","P0","no","contracts-freeze","Core routing, search-first, progress SSE, budget logic. Keep as shared execution brain for all 3 public modes."
"core/src/ora_core/engine/","packages/node-core/engine/","public","all","common-node-core","P0","no","contracts-freeze","Provider/model abstraction and generation engine. Shared by managed-lite, hybrid, self-host."
"core/src/ora_core/tools/","packages/node-core/tools/","public","all","common-node-core","P0","no","contracts-freeze","Tool dispatch/runtime layer. Must remain capability-driven, not repo-cross-import driven."
"core/src/ora_core/models/","packages/node-core/models/","public","all","common-node-core","P1","no","contracts-freeze","Model registry and tier selection shared across all profiles."
"core/src/ora_core/mcp/","packages/connectors/mcp/","public","hybrid+self-host","connectors/protocols","P1","no","contracts-freeze","External tool provider protocol adapter. Not required for managed-lite MVP."
"core/src/ora_core/api/","packages/node-local-api/","public","all","connectors/protocols","P0","no","contracts-freeze","Retain only local node-facing API surface in public. Private cloud/admin-only routes must not stay here long-term."
"core/src/ora_core/database/","packages/node-core/database/","public","all","common-node-core","P0","no","contracts-freeze","Local state, queue, identities, files metadata. Schema must be profile-aware rather than repo-aware."
"src/skills/","packages/public-skills/","public","hybrid+self-host","public-skills","P0","yes","contracts-freeze","Safest first extraction slice. Skills are already capability-shaped and mostly isolated from UI."
"src/skills/read_web_page/","packages/public-skills/read_web_page/","public","all","public-skills","P1","yes","contracts-freeze","Representative safe read skill for first extraction and packaging contract."
"src/skills/image_crop_upscale/","packages/public-skills/image_crop_upscale/","public","hybrid+self-host","public-skills","P2","no","contracts-freeze,url-validation-contract","Higher security sensitivity due to fetch/SSRF rules; move after safe skill extraction pattern is proven."
"src/services/relay_node.py","packages/connectors/relay_node/","public","managed-lite+hybrid","connectors/protocols","P0","no","contracts-freeze","Public node-side relay connector stays public; official relay service itself stays private."
"src/relay/","apps/official-relay/","private","managed-lite+hybrid","private-only-official-app-relay-admin-ops","P0","no","private-only-migration","Official relay service/runtime belongs in private repo; only wire protocol may cross repos."
"src/web/app.py","apps/local-web/app.py","public","hybrid+self-host","local-web","P1","no","profile-scaffolding","Local node-served web UI/API shell for hybrid and self-host modes."
"src/web/routers/","apps/local-web/routers/","public","hybrid+self-host","local-web","P1","no","profile-scaffolding","Local web routes that are meaningful on a user machine stay public."
"src/web/static/","apps/local-web/static/","public","hybrid+self-host","local-web","P2","no","profile-scaffolding","Static assets for local web/operator UI."
"src/web/files_store.py","packages/connectors/files/","public","all","connectors/protocols","P0","no","contracts-freeze,files-contract-freeze","Public files contract implementation used by all modes."
"src/web/settings_schema.py","profiles/settings_schema.py","public","all","profiles","P1","no","profile-scaffolding","Schema seed for mode/profile configuration validation."
"src/web/endpoints.py","apps/official-admin-web/","private","managed-lite","private-only-official-app-relay-admin-ops","P0","no","private-only-migration","Current mixed web/admin endpoints must be split; admin/commercial endpoints belong private."
"src/cogs/","apps/legacy-discord-bot/","private","managed-lite","private-only-official-app-relay-admin-ops","P0","no","private-only-migration","Discord-first bot UX and operational commands remain private/official. Public node product should not depend on discord.py cogs."
"src/views/","apps/legacy-discord-bot/views/","private","managed-lite","private-only-official-app-relay-admin-ops","P2","no","private-only-migration","Discord presentation layer remains private with official bot/runtime."
"src/managers/","packages/node-core/managers/","public","all","common-node-core","P2","no","contracts-freeze","Hardware/resource managers are local-node concerns; keep only machine-local manager logic public."
"src/utils/access_control.py","packages/node-core/permissions/access_control.py","public","all","profiles","P0","no","profile-scaffolding","Permission decisions must become profile/capability driven."
"src/utils/approvals.py","packages/node-core/permissions/approvals.py","public","hybrid+self-host","profiles","P0","no","profile-scaffolding,capability-manifest-freeze","Approval rules remain public for self-host/hybrid, but owner/admin surfaces differ by profile."
"src/utils/policy_engine.py","packages/node-core/permissions/policy_engine.py","public","all","profiles","P0","no","profile-scaffolding","Central policy engine should be profile selected, not repo selected."
"src/utils/risk_scoring.py","packages/node-core/permissions/risk_scoring.py","public","all","profiles","P1","no","profile-scaffolding","Risk tags remain common but thresholds may differ per mode."
"src/utils/core_client.py","packages/connectors/core_client/","public","managed-lite+hybrid","connectors/protocols","P1","no","contracts-freeze","Client for protocol boundary, not a place for cross-repo imports."
"src/utils/search_client.py","packages/node-core/search/","public","all","common-node-core","P1","no","contracts-freeze","Search orchestration shared by all public modes."
"src/utils/cloud_sync.py","packages/connectors/official_sync/","public","managed-lite+hybrid","connectors/protocols","P2","no","contracts-freeze,auth-claims-freeze","Optional official service dependency for managed-lite/hybrid only."
"src/utils/cloudflare_tunnel.py","apps/official-relay/ops/cloudflare_tunnel.py","private","managed-lite","private-only-official-app-relay-admin-ops","P1","no","private-only-migration","Official tunnel/ops automation belongs private. Public self-host should not ship official tunnel automation by default."
"clients/web/","apps/official-web/","private","managed-lite","private-only-official-app-relay-admin-ops","P0","no","private-only-migration","Official yonerai.com main app stays private."
"ora-ui/","apps/official-app-shell/","private","managed-lite","private-only-official-app-relay-admin-ops","P1","no","private-only-migration","Official app shell/dashboard stays private."
"docs/PROTOCOL.md","contracts/relay-protocol.md","public","all","connectors/protocols","P0","yes","none","Freeze as protocol source of truth before any extraction."
"docs/EXTENSIONS.md","contracts/extensions-surface.md","public","all","public-skills","P1","yes","none","Documents skill/MCP/cog extension surface; needed before safe skills extraction."
"docs/PLATFORM_PLAN.md","docs/node-3mode-platform-plan.md","public","all","profiles","P1","no","none","High-level direction doc; keep as planning reference, not runtime dependency."
"config/","packages/node-core/config/","public","all","profiles","P1","no","profile-scaffolding","Configuration defaults and mode overlays should live here after scaffolding."
"templates/","packages/node-core/templates/","public","all","common-node-core","P2","no","profile-scaffolding","Reusable templates/prompts/assets shared by all modes."
"data/","state/local-data/","public","hybrid+self-host","local-web","P3","no","later-runtime-hardening","Local persistent data, not to be copied into private official repo."
"deploy/","ops/deploy/","private","managed-lite","private-only-official-app-relay-admin-ops","P1","no","private-only-migration","Official deploy and ops automation stays private."
